Disorder_Group	count	Type
Complex genetic syndromes	3	Positives
Endocrine disorders	1	Positives
Haematological disorders	2	Positives
Hearing disorders	1	Positives
Neuromuscular and musculoskeletal disorders	2	Positives
Skeletal, skin, and connective tissue disorders	2	Positives
Tumor predisposition syndromes	1	Positives
Autoimmune, inflammatory, and immunogenetic disorders	6	Carrier
Cardiac and vascular disorders	1	Carrier
Complex genetic syndromes	10	Carrier
Endocrine disorders	6	Carrier
Eye disorders	3	Carrier
Haematological disorders	5	Carrier
Hearing disorders	8	Carrier
Inherited disorders of metabolism	36	Carrier
Neurodevelopmental, neurodegenerative, and neurogenetic disorders	5	Carrier
Neuromuscular and musculoskeletal disorders	7	Carrier
Renal disorders	1	Carrier
Respiratory system disorders	2	Carrier
Skeletal, skin, and connective tissue disorders	6	Carrier
Tumor predisposition syndromes	2	Carrier
